Analyst,FileName,Date,RecordingLocation,plot,location,PrimateSpecies,CallOnset,CallDuration,CallCompletion,CallDistance,Rain,MicUsed,UndergradComments,SilvyComments,newdate,year,StartTime,TimeDiff,CallEnd,CallingAtStart,CallingAtEnd,path,date,meanRMS_0_2kHz,meanRMS_0_8kHz,meanRMS_2_8kHz,LunarPhase,today_average,lastnight_average,lastnight_min,dt,roundDateTime,Celsius,Humidity,Titis,Howlers,CallDurationInSec,Year
Silvy van Kuijk,HARPIA_20130225_070000.wav,2/25/2013,"Harpia/1, -50",Harpia,"1, -50",None,0000-01-01 07:01:21,NA,NA,NA,Drizzle,1,NA,NA,2/25/2013,2013,0000-01-01 07:00:00,NA,NA,NA,NA,"D:/John_Blake_Data/Harpia 2013/1,-50/25 feb 2013",25-Feb-13,81.94595203,94.56147304,94.31706065,Full,25.70833333,24.29166667,23.5,2/25/2013,2/25/2013,23.5,99,FALSE,FALSE,NA,2013
Silvy van Kuijk,HARPIA_20130225_071500.wav,2/25/2013,"Harpia/1, -50",Harpia,"1, -50",None,0000-01-01 07:18:36,NA,NA,NA,Dry,1,NA,NA,2/25/2013,2013,0000-01-01 07:15:00,NA,NA,NA,NA,"D:/John_Blake_Data/Harpia 2013/1,-50/25 feb 2013",25-Feb-13,76.6679344,92.77283838,92.6650898,Full,25.70833333,24.29166667,23.5,2/25/2013,2/25/2013,23.5,99,FALSE,FALSE,NA,2013
Silvy van Kuijk,HARPIA_20130225_073000.wav,2/25/2013,"Harpia/1, -50",Harpia,"1, -50",None,0000-01-01 07:33:33,NA,NA,NA,Dry,1,NA,NA,2/25/2013,2013,0000-01-01 07:30:00,NA,NA,NA,NA,"D:/John_Blake_Data/Harpia 2013/1,-50/25 feb 2013",25-Feb-13,92.3203392,98.07706041,96.73637008,Full,25.70833333,24.29166667,23.5,2/25/2013,2/25/2013,23.5,99,FALSE,FALSE,NA,2013
Silvy van Kuijk,HARPIA_20130225_074500.wav,2/25/2013,"Harpia/1, -50",Harpia,"1, -50",None,0000-01-01 07:49:21,NA,NA,NA,Dry,1,NA,NA,2/25/2013,2013,0000-01-01 07:45:00,NA,NA,NA,NA,"D:/John_Blake_Data/Harpia 2013/1,-50/25 feb 2013",25-Feb-13,75.00944123,97.64819187,97.62448823,Full,25.70833333,24.29166667,23.5,2/25/2013,2/25/2013,23.5,99,FALSE,FALSE,NA,2013
Silvy van Kuijk,HARPIA_20130225_080000.wav,2/25/2013,"Harpia/1, -50",Harpia,"1, -50",None,0000-01-01 08:06:20,NA,NA,NA,Dry,1,NA,NA,2/25/2013,2013,0000-01-01 08:00:00,NA,NA,NA,NA,"D:/John_Blake_Data/Harpia 2013/1,-50/25 feb 2013",25-Feb-13,75.75577468,101.5995095,101.5882077,Full,25.70833333,24.29166667,23.5,2/25/2013,2/25/2013,23.5,99,FALSE,FALSE,NA,2013
Silvy van Kuijk,HARPIA_20130226_054500.wav,2/26/2013,"Harpia/1, -50",Harpia,"1, -50",None,0000-01-01 05:49:40,NA,NA,NA,Drizzle,1,NA,NA,2/26/2013,2013,0000-01-01 05:45:00,NA,NA,NA,NA,"D:/John_Blake_Data/Harpia 2013/1,-50/26 feb 2013",26-Feb-13,81.31791225,100.7831206,100.7337614,Full,24.89583333,24.54166667,23.5,2/26/2013,2/26/2013,24.5,99,FALSE,FALSE,NA,2013
Silvy van Kuijk,HARPIA_20130226_060000.wav,2/26/2013,"Harpia/1, -50",Harpia,"1, -50",None,0000-01-01 06:03:42,NA,NA,NA,Drizzle,1,NA,NA,2/26/2013,2013,0000-01-01 06:00:00,NA,NA,NA,NA,"D:/John_Blake_Data/Harpia 2013/1,-50/26 feb 2013",26-Feb-13,88.93744671,98.72477124,98.2432542,Full,24.89583333,24.54166667,23.5,2/26/2013,2/26/2013,24.5,99,FALSE,FALSE,NA,2013
Silvy van Kuijk,HARPIA_20130226_061500.wav,2/26/2013,"Harpia/1, -50",Harpia,"1, -50",None,0000-01-01 06:17:47,NA,NA,NA,Drizzle,1,NA,NA,2/26/2013,2013,0000-01-01 06:15:00,NA,NA,NA,NA,"D:/John_Blake_Data/Harpia 2013/1,-50/26 feb 2013",26-Feb-13,88.62498656,97.40847296,96.79216473,Full,24.89583333,24.54166667,23.5,2/26/2013,2/26/2013,24.5,99,FALSE,FALSE,NA,2013
Silvy van Kuijk,HARPIA_20130226_063000.wav,2/26/2013,"Harpia/1, -50",Harpia,"1, -50",None,0000-01-01 06:31:06,NA,NA,NA,Drizzle,1,NA,NA,2/26/2013,2013,0000-01-01 06:30:00,NA,NA,NA,NA,"D:/John_Blake_Data/Harpia 2013/1,-50/26 feb 2013",26-Feb-13,87.45583975,92.48884063,90.85344707,Full,24.89583333,24.54166667,23.5,2/26/2013,2/26/2013,24.5,99,FALSE,FALSE,NA,2013
Silvy van Kuijk,HARPIA_20130226_064500.wav,2/26/2013,"Harpia/1, -50",Harpia,"1, -50",None,0000-01-01 06:50:32,NA,NA,NA,Drizzle,1,NA,NA,2/26/2013,2013,0000-01-01 06:45:00,NA,NA,NA,NA,"D:/John_Blake_Data/Harpia 2013/1,-50/26 feb 2013",26-Feb-13,79.80247266,93.80939738,93.63338871,Full,24.89583333,24.54166667,23.5,2/26/2013,2/26/2013,24.5,99,FALSE,FALSE,NA,2013
