Analyst,FileName,Date,RecordingLocation,PrimateSpecies,CallOnset,CallDuration,CallCompletion,CallDistance,Rain,UndergradComments,SilvyComments
Andy Zhou,HARPIA_20130209_063000,2/9/2013,"Harpia, 3, 400",None,,,,,Rain,,
Andy Zhou,HARPIA_20130209_064500,2/9/2013,"Harpia, 3, 400",None,,,,,Rain,,
Andy Zhou,HARPIA_20130209_070000,2/9/2013,"Harpia, 3, 400",None,,,,,Rain,,
Andy Zhou,HARPIA_20130209_071500,2/9/2013,"Harpia, 3, 400",None,,,,,Rain,,
Andy Zhou,HARPIA_20130209_073000,2/9/2013,"Harpia, 3, 400",None,,,,,Rain,,
Andy Zhou,HARPIA_20130209_074500,2/9/2013,"Harpia, 3, 400",None,,,,,Rain,,
Andy Zhou,HARPIA_20130209_080000,2/9/2013,"Harpia, 3, 400",None,,,,,Rain,,
Andy Zhou,HARPIA_20130210_054500,2/10/2013,"Harpia, 3, 400",Titi,5:52:45,0:00:27,Complete,3,Dry,,There's a cool little froggy here that Mike Ryan might know more about? I'm curious!
Andy Zhou,HARPIA_20130210_054500,2/10/2013,"Harpia, 3, 400",Titi,5:53:47,0:01:03,Complete,3,Dry,,
Andy Zhou,HARPIA_20130210_060000,2/10/2013,"Harpia, 3, 400",None,,,,,Dry,,
Andy Zhou,HARPIA_20130210_061500,2/10/2013,"Harpia, 3, 400",None,,,,,Dry,,
Andy Zhou,HARPIA_20130210_063000,2/10/2013,"Harpia, 3, 400",None,,,,,Dry,,
Andy Zhou,HARPIA_20130210_064500,2/10/2013,"Harpia, 3, 400",Titi,6:45:03,0:00:08,Complete,4,Dry,,
Andy Zhou,HARPIA_20130210_064500,2/10/2013,"Harpia, 3, 400",Titi,6:46:08,0:00:10,Complete,4,Dry,,
Andy Zhou,HARPIA_20130210_064500,2/10/2013,"Harpia, 3, 400",Titi,6:48:30,0:01:29,Complete,4,Dry,,
Andy Zhou,HARPIA_20130210_070000,2/10/2013,"Harpia, 3, 400",None,,,,,Dry,,
Andy Zhou,HARPIA_20130210_071500,2/10/2013,"Harpia, 3, 400",None,,,,,Dry,,
Andy Zhou,HARPIA_20130210_073000,2/10/2013,"Harpia, 3, 400",None,,,,,Dry,,
Andy Zhou,HARPIA_20130210_074500,2/10/2013,"Harpia, 3, 400",None,,,,,Dry,,
Andy Zhou,HARPIA_20130210_080000,2/10/2013,"Harpia, 3, 400",None,,,,,Dry,,
Andy Zhou,HARPIA_20130213_054500,2/13/2013,"Harpia, 3, 800",None,,,,,Dry,,
Andy Zhou,HARPIA_20130213_060000,2/13/2013,"Harpia, 3, 800",Howler,6:00:00,0:03:03,Complete,4,Dry,"Weird Noise in the left ear, sounds like a waterfall",
Andy Zhou,HARPIA_20130213_060000,2/13/2013,"Harpia, 3, 800",Howler,6:04:20,0:06:36,End,4,Dry,,
Andy Zhou,HARPIA_20130213_061500,2/13/2013,"Harpia, 3, 800",None,,,,,Dry,,
Andy Zhou,HARPIA_20130213_063000,2/13/2013,"Harpia, 3, 800",None,,,,,Dry,,
Andy Zhou,HARPIA_20130213_064500,2/13/2013,"Harpia, 3, 800",None,,,,,Dry,,
Andy Zhou,HARPIA_20130213_070000,2/13/2013,"Harpia, 3, 800",None,,,,,Dry,,
Andy Zhou,HARPIA_20130213_071500,2/13/2013,"Harpia, 3, 800",Titi,7:19:38,0:05:20,End,3,Dry,Can't tell if these are titis or birds,"Yes, titi monkey burst gobbles!"
Andy Zhou,HARPIA_20130213_073000,2/13/2013,"Harpia, 3, 800",None,,,,,Dry,,
Andy Zhou,HARPIA_20130213_074500,2/13/2013,"Harpia, 3, 800",None,,,,,Dry,,
Andy Zhou,HARPIA_20130213_080000,2/13/2013,"Harpia, 3, 800",None,,,,,Dry,,
Andy Zhou,HARPIA_20130214_054500,2/14/2013,"Harpia, 3, 800",None,,,,,Dry,,
Andy Zhou,HARPIA_20130214_060000,2/14/2013,"Harpia, 3, 800",Howler,6:00:00,0:10:00,"Start, End",4,Dry,Very Faint howler calls,
Andy Zhou,HARPIA_20130214_061500,2/14/2013,"Harpia, 3, 800",Howler,6:24:15,0:00:27,End,4,Dry,,
Andy Zhou,HARPIA_20130214_063000,2/14/2013,"Harpia, 3, 800",None,,,,,Dry,,
Andy Zhou,HARPIA_20130214_064500,2/14/2013,"Harpia, 3, 800",Howler,6:45:00,0:00:17,Start,4,Dry,,
Andy Zhou,HARPIA_20130214_070000,2/14/2013,"Harpia, 3, 800",None,,,,,Dry,,
Andy Zhou,HARPIA_20130214_071500,2/14/2013,"Harpia, 3, 800",None,,,,,Dry,,
Andy Zhou,HARPIA_20130214_073000,2/14/2013,"Harpia, 3, 800",Howler,7:31:57,0:01:19,Complete,4,Dry,,
Silvy van Kuijk,HARPIA_20130214_073000,2/14/2013,"Harpia, 3, 800",Titi,7:38:56,0:00:27,Complete,4,Dry,,Two short burstgobbles
Andy Zhou,HARPIA_20130214_074500,2/14/2013,"Harpia, 3, 800",None,,,,,Dry,,
Andy Zhou,HARPIA_20130214_080000,2/14/2013,"Harpia, 3, 800",None,,,,,Dry,,
Silvy van Kuijk,HARPIA_20130222_054500,2/22/2013,"Harpia, 2, 200",None,,,,,Drizzle,,
Silvy van Kuijk,HARPIA_20130222_060000,2/22/2013,"Harpia, 2, 200",None,,,,,Drizzle,,
Silvy van Kuijk,HARPIA_20130222_061500,2/22/2013,"Harpia, 2, 200",None,,,,,Drizzle,,
Silvy van Kuijk,HARPIA_20130222_063000,2/22/2013,"Harpia, 2, 200",None,,,,,Drizzle,,
Silvy van Kuijk,HARPIA_20130222_064500,2/22/2013,"Harpia, 2, 200",None,,,,,Dry,,
Silvy van Kuijk,HARPIA_20130222_070000,2/22/2013,"Harpia, 2, 200",None,,,,,Drizzle,,"I can hear movement in the trees, but no vocalizations"
Silvy van Kuijk,HARPIA_20130222_071500,2/22/2013,"Harpia, 2, 200",None,,,,,Drizzle,,Capuchins and squirrel monkeys are passing by the recorder! At 6:10 a monkey climbs on/over the recorder. At 6:45 there are some cool calls. Four grunts starting at 7:47.
Silvy van Kuijk,HARPIA_20130222_073000,2/22/2013,"Harpia, 2, 200",None,,,,,Drizzle,,I can hear a clear low-frequency sound in the background. Helicopter? Few minutes later some macaws seem to land in a tree nearby. Vocalizing LOUD!
Silvy van Kuijk,HARPIA_20130222_074500,2/22/2013,"Harpia, 2, 200",None,,,,,Dry,,Spider monkey alarm calls for several minutes straight. 
Silvy van Kuijk,HARPIA_20130222_080000,2/22/2013,"Harpia, 2, 200",None,,,,,Dry,,
Silvy van Kuijk,HARPIA_20130214_054500,2/14/2013,"Harpia, 1, 400",None,,,,,Dry,,
Silvy van Kuijk,HARPIA_20130214_060000,2/14/2013,"Harpia, 1, 400",None,,,,,Dry,,
Silvy van Kuijk,HARPIA_20130214_061500,2/14/2013,"Harpia, 1, 400",None,,,,,Dry,,"Beautiful recording! So much going on, all perfectly separated acoustic niches in time or frequency range. "
Silvy van Kuijk,HARPIA_20130214_063000,2/14/2013,"Harpia, 1, 400",None,,,,,Dry,,Spider or woolly alarm calls in last minute or two of recording.
Silvy van Kuijk,HARPIA_20130214_064500,2/14/2013,"Harpia, 1, 400",None,,,,,Dry,,Still spider or woolly alarm calls in distance.
Silvy van Kuijk,HARPIA_20130214_070000,2/14/2013,"Harpia, 1, 400",None,,,,,Dry,,You can hear a boat pass in the distance.
Silvy van Kuijk,HARPIA_20130214_071500,2/14/2013,"Harpia, 1, 400",None,,,,,Dry,,
Silvy van Kuijk,HARPIA_20130214_073000,2/14/2013,"Harpia, 1, 400",None,,,,,Dry,,Woolly scream at the last 2 seconds
Silvy van Kuijk,HARPIA_20130214_074500,2/14/2013,"Harpia, 1, 400",None,,,,,Dry,,
Silvy van Kuijk,HARPIA_20130214_080000,2/14/2013,"Harpia, 1, 400",None,,,,,Dry,,Woolly calls from 3:14 to 3:20
Silvy van Kuijk,HARPIA_20130215_054500,2/15/2013,"Harpia, 4, 200",Howler,5:45:00,0:10:00,"Start, End",4,Dry,,
