Analyst,FileName,StartTime,Date,RecordingLocation,PrimateSpecies,CallOnset,CallDuration,CallCompletion,CallDistance,Rain,UndergradComments,SilvysComments,LunarPhase,TodayAverageTemp,LastnightAverageTemp,LastnightMinTemp,TempAtHour,HumidityAtHour
Silvy van Kuijk,HARPIA_20130227_081500,81500,2/27/2013,"Harpia, 1, -50",None,,,,NA,Rain,,,Full,24.16666667,23.25,22.5,NA,NA
Silvy van Kuijk,HARPIA_20130227_083000,83000,2/27/2013,"Harpia, 1, -50",None,,,,NA,Rain,,,Full,24.16666667,23.25,22.5,NA,NA
Silvy van Kuijk,HARPIA_20130227_084500,84500,2/27/2013,"Harpia, 1, -50",None,,,,NA,Rain,,,Full,24.16666667,23.25,22.5,NA,NA
Silvy van Kuijk,HARPIA_20130227_090000,90000,2/27/2013,"Harpia, 1, -50",None,,,,NA,Rain,,,Full,24.16666667,23.25,22.5,NA,NA
Silvy van Kuijk,HARPIA_20130227_091500,91500,2/27/2013,"Harpia, 1, -50",None,,,,NA,Drizzle,,,Full,24.16666667,23.25,22.5,NA,NA
Anna Kurtin,HARPIA_20130213_054500,54500,2/13/2013,"Harpia, 1,400",None,,,,NA,Drizzle,,,New,24.45833333,23.79166667,23,23,100
Anna Kurtin,HARPIA_20130213_06000,60000,2/13/2013,"Harpia, 1,400",Howler ,6:00:00,0:03:51,Start,4,Drizzle,This sounds like a very distant group of howlers,"Also, be mindful of 'maybe howlers' data. Vague data adds a lot of uncertainty to our data set, making resuls highly unreliable. ",New,24.45833333,23.79166667,23,25.5,94.5
Anna Kurtin,HARPIA_20130213_06000,60000,2/13/2013,"Harpia, 1,400",Howler ,6:04:50,0:05:10,End,2,Drizzle,These howlers are much closer than the ones from earlier in the recording ,,New,24.45833333,23.79166667,23,25.5,94.5
Anna Kurtin,HARPIA_20130213_061500,61500,2/13/2013,"Harpia, 1,400",Howler ,6:15:00,0:10:00,"Start, End",2,Drizzle,The howlers briefly stop for ~15 s but this was counted as part of the same bout,,New,24.45833333,23.79166667,23,28.5,89.5
Anna Kurtin,HARPIA_20130213_063000,63000,2/13/2013,"Harpia, 1,400",Howler ,6:30:00,0:10:00,"Start, End",2,Drizzle,The howlers briefly stop for ~15 s but this was counted as part of the same bout,,New,24.45833333,23.79166667,23,28,89
Anna Kurtin,HARPIA_20130213_064500,64500,2/13/2013,"Harpia, 1,400",Howler ,6:45:00,0:10:00,"Start, End",3,Drizzle,Howling had breif (~10 to ~15 s pauses) but was counted as part of the same bout,,New,24.45833333,23.79166667,23,26,96
Anna Kurtin,HARPIA_20130213_070000,70000,2/13/2013,"Harpia, 1,400",None,,,,NA,Drizzle,,,New,24.45833333,23.79166667,23,22,99
Anna Kurtin,HARPIA_20130213_071500,71500,2/13/2013,"Harpia, 1,400",None,,,,NA,Drizzle,,,New,24.45833333,23.79166667,23,22.5,100
Anna Kurtin,HARPIA_20130213_073000,73000,2/13/2013,"Harpia, 1,400",None,,,,NA,Drizzle,,,New,24.45833333,23.79166667,23,22.5,100
Anna Kurtin,HARPIA_20130213_073000,73000,2/13/2013,"Harpia, 1,400",None,,,,NA,Drizzle,,,New,24.45833333,23.79166667,23,22.5,100
Anna Kurtin,HARPIA_20130213_074500,74500,2/13/2013,"Harpia, 1,400",None,,,,NA,Drizzle,,,New,24.45833333,23.79166667,23,22.5,100
Anna Kurtin,HARPIA_20130213_080000,80000,2/13/2013,"Harpia, 1,400",None,,,,NA,Drizzle,,,New,24.45833333,23.79166667,23,22.5,100
Anna Kurtin,HARPIA_20130213_081500,81500,2/13/2013,"Harpia, 1,400",None,,,,NA,Drizzle,,,New,24.45833333,23.79166667,23,23.5,100
Anna Kurtin,HARPIA_20130213_083000,83000,2/13/2013,"Harpia, 1,400",None,,,,NA,Drizzle,,,New,24.45833333,23.79166667,23,23.5,100
Anna Kurtin,HARPIA_20130213_084500,84500,2/13/2013,"Harpia, 1,400",None,,,,NA,Drizzle,,,New,24.45833333,23.79166667,23,22.5,100
Anna Kurtin,HARPIA_20130213_090000,90000,2/13/2013,"Harpia, 1,400",None,,,,NA,Drizzle,,,New,24.45833333,23.79166667,23,24,100
Anna Kurtin,HARPIA_20130213_091500,91500,2/13/2013,"Harpia, 1,400",None,,,,NA,Drizzle,,,New,24.45833333,23.79166667,23,23.5,99.5
Andy Zhou,HARPIA_20130213_054500,54500,2/13/2013,"Harpia, 1,800",None,,,,NA,Dry,"For the two highlighted rows can you look them over, if you have time, just to verify if I am following the protocol properly? There was nothing wrong within the files themselves.",Perfect work! This is indeed what I'm looking for!,New,24.45833333,23.79166667,23,23,100
Andy Zhou,HARPIA_20130213_060000,60000,2/13/2013,"Harpia, 1,800",Howler,6:04:28,0:05:22,Complete,3,Dry,Howling is faint but appears to be a continous bout,"Nice data! Even thouht the howlers are at quite the distance, you can still fairly clearly see the call in th spectrogram and point out where the call starts/ends. Good!",New,24.45833333,23.79166667,23,25.5,94.5
Andy Zhou,HARPIA_20130213_061500,61500,2/13/2013,"Harpia, 1,800",Howler,6:15:00,0:10:00,"Start, End",3,Dry,,,New,24.45833333,23.79166667,23,28.5,89.5
Andy Zhou,HARPIA_20130213_063000,63000,2/13/2013,"Harpia, 1,800",Howler,6:30:00,0:10:00,"Start, End",3,Dry,Howling is faint but appears to be a continous bout,,New,24.45833333,23.79166667,23,28,89
Andy Zhou,HARPIA_20130213_064500,64500,2/13/2013,"Harpia, 1,800",None,,,,NA,Dry,,,New,24.45833333,23.79166667,23,26,96
Andy Zhou,HARPIA_20130213_070000,70000,2/13/2013,"Harpia, 1,800",None,,,,NA,Dry,,,New,24.45833333,23.79166667,23,22,99
Andy Zhou,HARPIA_20130213_071500,71500,2/13/2013,"Harpia, 1,800",Titi,7:20:03,0:04:58,End,2,Dry,,"Burst gobbles, close by! Second group in distance.",New,24.45833333,23.79166667,23,22.5,100
Andy Zhou,HARPIA_20130213_073000,73000,2/13/2013,"Harpia, 1,800",None,,,,NA,Dry,,,New,24.45833333,23.79166667,23,22.5,100
Andy Zhou,HARPIA_20130213_074500,74500,2/13/2013,"Harpia, 1,800",None,,,,NA,Dry,,,New,24.45833333,23.79166667,23,22.5,100
Andy Zhou,HARPIA_20130213_080000,80000,2/13/2013,"Harpia, 1,800",None,,,,NA,Dry,,,New,24.45833333,23.79166667,23,22.5,100
Andy Zhou,HARPIA_20130213_081500,81500,2/13/2013,"Harpia, 1,800",None,,,,NA,Dry,,,New,24.45833333,23.79166667,23,23.5,100
Andy Zhou,HARPIA_20130213_083000,83000,2/13/2013,"Harpia, 1,800",None,,,,NA,Dry,,,New,24.45833333,23.79166667,23,23.5,100
Andy Zhou,HARPIA_20130213_084500,84500,2/13/2013,"Harpia, 1,800",None,,,,NA,Dry,,,New,24.45833333,23.79166667,23,22.5,100
Andy Zhou,HARPIA_20130213_090000,90000,2/13/2013,"Harpia, 1,800",None,,,,NA,Dry,,,New,24.45833333,23.79166667,23,24,100
Andy Zhou,HARPIA_20130213_091500,91500,2/13/2013,"Harpia, 1,800",None,,,,NA,Dry,,,New,24.45833333,23.79166667,23,23.5,99.5
Andy Zhou,HARPIA_20130214_054500,54500,2/14/2013,"Harpia, 1,800",Howler,5:51:31,0:03:29,End,4,Dry,"Very faint Howlers, they seem far away. Perhaps the call started sooner, hard to tell.",,Waxing,25.16666667,23.5,22.5,22.5,100
Andy Zhou,HARPIA_20130214_060000,60000,2/14/2013,"Harpia, 1,800",Howler,6:00:00,0:10:00,"Start, End",4,Dry,"Very faint Howlers, can't tell if its actually them or just white noise","I see what it is you're hearing, but it's so far away that I'd consider it quite unreliable data. It's super hard to determine the start and end of a call, which adds a lot of unreliability to your data. What I think I'll do, is add a distance score of some kind. That way we can, when we get to analysis, we can choose to filter out data that's from very distant calls and see how that improves our dataset. ",Waxing,25.16666667,23.5,22.5,22.5,100
Andy Zhou,HARPIA_20130214_061500,61500,2/14/2013,"Harpia, 1,800",None,,,,NA,Dry,,,Waxing,25.16666667,23.5,22.5,23,100
Andy Zhou,HARPIA_20130214_063000,63000,2/14/2013,"Harpia, 1,800",None,,,,NA,Dry,,,Waxing,25.16666667,23.5,22.5,23.5,100
Andy Zhou,HARPIA_20130214_064500,64500,2/14/2013,"Harpia, 1,800",None,,,,NA,Dry,,,Waxing,25.16666667,23.5,22.5,24.5,100
Andy Zhou,HARPIA_20130214_070000,70000,2/14/2013,"Harpia, 1,800",None,,,,NA,Dry,,,Waxing,25.16666667,23.5,22.5,22,100
