"","X1","Analyst","FileName","Date","RecordingLocation","plot","location","PrimateSpecies","CallOnset","CallDuration","CallCompletion","CallDistance","MicUsed","Rain","UndergradComments","SilvyComments","newdate","year","StartTime","TimeDiff","CallEnd","CallingAtStart","CallingAtEnd","path","date","meanRMS_0_2kHz","meanRMS_0_8kHz","meanRMS_2_8kHz","LunarPhase","RainPreviousDay","today_average_temp","today_min_temp","lastnight_average_temp","lastnight_min_temp","dt","roundDateTime","Temperature","Humidity","Titis","Howlers","CallDurationInSec","Year"
"21",21,"Silvy van Kuijk","HARPIA_20130225_054500.wav",2013-02-25,"Harpia/1, -50","Harpia","1, -50","None",0000-01-01 05:49:43,NA,NA,NA,1,"Dry",NA,NA,2013-02-25,2013,0000-01-01 05:45:00,NA,NA,NA,NA,"D:/John_Blake_Data/Harpia 2013/1,-50/25 feb 2013","25 feb 2013",76.2152566563422,96.6616759926154,96.6223212526595,"Full",2.8,25.70833333,23.5,24.29166667,23.5,2013-02-25 05:45:00,2013-02-25 06:00:00,23.5,100,FALSE,FALSE,NA,"2013"
"22",22,"Silvy van Kuijk","HARPIA_20130225_060000.wav",2013-02-25,"Harpia/1, -50","Harpia","1, -50","None",0000-01-01 06:07:58,NA,NA,NA,1,"Dry",NA,NA,2013-02-25,2013,0000-01-01 06:00:00,NA,NA,NA,NA,"D:/John_Blake_Data/Harpia 2013/1,-50/25 feb 2013","25 feb 2013",86.951176255719,95.6481040155687,95.0187323336802,"Full",2.8,25.70833333,23.5,24.29166667,23.5,2013-02-25 06:00:00,2013-02-25 06:00:00,23.5,100,FALSE,FALSE,NA,"2013"
"23",23,"Silvy van Kuijk","HARPIA_20130225_061500.wav",2013-02-25,"Harpia/1, -50","Harpia","1, -50","Howler",0000-01-01 06:15:00,00:10:00,"Start, End",3,1,"Dry",NA,"Howlers sang shortly before rain (5 minute window). Complete capuchin call at 06:15:45, lasts 2 seconds, distance score 3.",2013-02-25,2013,0000-01-01 06:15:00,0,0000-01-01 06:25:00,TRUE,TRUE,"D:/John_Blake_Data/Harpia 2013/1,-50/25 feb 2013","25 feb 2013",NA,NA,NA,"Full",2.8,25.70833333,23.5,24.29166667,23.5,2013-02-25 06:15:00,2013-02-25 06:00:00,23.5,100,FALSE,TRUE,600,"2013"
"24",24,"Silvy van Kuijk","HARPIA_20130225_063000.wav",2013-02-25,"Harpia/1, -50","Harpia","1, -50","None",0000-01-01 06:35:40,NA,NA,NA,1,"Rain",NA,NA,2013-02-25,2013,0000-01-01 06:30:00,NA,NA,NA,NA,"D:/John_Blake_Data/Harpia 2013/1,-50/25 feb 2013","25 feb 2013",84.2185448289874,91.3512193799239,90.4177058202117,"Full",2.8,25.70833333,23.5,24.29166667,23.5,2013-02-25 06:30:00,2013-02-25 07:00:00,23.5,100,FALSE,FALSE,NA,"2013"
"25",25,"Silvy van Kuijk","HARPIA_20130225_064500.wav",2013-02-25,"Harpia/1, -50","Harpia","1, -50","None",0000-01-01 06:47:43,NA,NA,NA,1,"Drizzle",NA,NA,2013-02-25,2013,0000-01-01 06:45:00,NA,NA,NA,NA,"D:/John_Blake_Data/Harpia 2013/1,-50/25 feb 2013","25 feb 2013",77.5240157259942,89.7057217324487,89.434978208444,"Full",2.8,25.70833333,23.5,24.29166667,23.5,2013-02-25 06:45:00,2013-02-25 07:00:00,23.5,100,FALSE,FALSE,NA,"2013"
"26",26,"Silvy van Kuijk","HARPIA_20130225_070000.wav",2013-02-25,"Harpia/1, -50","Harpia","1, -50","None",0000-01-01 07:04:12,NA,NA,NA,1,"Drizzle",NA,NA,2013-02-25,2013,0000-01-01 07:00:00,NA,NA,NA,NA,"D:/John_Blake_Data/Harpia 2013/1,-50/25 feb 2013","25 feb 2013",81.94595203299,94.561473043446,94.3170606496873,"Full",2.8,25.70833333,23.5,24.29166667,23.5,2013-02-25 07:00:00,2013-02-25 07:00:00,23.5,100,FALSE,FALSE,NA,"2013"
"27",27,"Silvy van Kuijk","HARPIA_20130225_071500.wav",2013-02-25,"Harpia/1, -50","Harpia","1, -50","None",0000-01-01 07:18:11,NA,NA,NA,1,"Dry",NA,NA,2013-02-25,2013,0000-01-01 07:15:00,NA,NA,NA,NA,"D:/John_Blake_Data/Harpia 2013/1,-50/25 feb 2013","25 feb 2013",76.6679344023847,92.7728383772979,92.6650897999097,"Full",2.8,25.70833333,23.5,24.29166667,23.5,2013-02-25 07:15:00,2013-02-25 07:00:00,23.5,100,FALSE,FALSE,NA,"2013"
"28",28,"Silvy van Kuijk","HARPIA_20130225_073000.wav",2013-02-25,"Harpia/1, -50","Harpia","1, -50","None",0000-01-01 07:35:08,NA,NA,NA,1,"Dry",NA,NA,2013-02-25,2013,0000-01-01 07:30:00,NA,NA,NA,NA,"D:/John_Blake_Data/Harpia 2013/1,-50/25 feb 2013","25 feb 2013",92.3203391975356,98.0770604148578,96.7363700759838,"Full",2.8,25.70833333,23.5,24.29166667,23.5,2013-02-25 07:30:00,2013-02-25 08:00:00,23.5,100,FALSE,FALSE,NA,"2013"
"29",29,"Silvy van Kuijk","HARPIA_20130225_074500.wav",2013-02-25,"Harpia/1, -50","Harpia","1, -50","None",0000-01-01 07:52:15,NA,NA,NA,1,"Dry",NA,NA,2013-02-25,2013,0000-01-01 07:45:00,NA,NA,NA,NA,"D:/John_Blake_Data/Harpia 2013/1,-50/25 feb 2013","25 feb 2013",75.0094412311378,97.6481918657875,97.6244882299,"Full",2.8,25.70833333,23.5,24.29166667,23.5,2013-02-25 07:45:00,2013-02-25 08:00:00,23.5,100,FALSE,FALSE,NA,"2013"
"30",30,"Silvy van Kuijk","HARPIA_20130225_080000.wav",2013-02-25,"Harpia/1, -50","Harpia","1, -50","None",0000-01-01 08:04:15,NA,NA,NA,1,"Dry",NA,NA,2013-02-25,2013,0000-01-01 08:00:00,NA,NA,NA,NA,"D:/John_Blake_Data/Harpia 2013/1,-50/25 feb 2013","25 feb 2013",75.7557746845072,101.599509535044,101.588207747734,"Full",2.8,25.70833333,23.5,24.29166667,23.5,2013-02-25 08:00:00,2013-02-25 08:00:00,23.5,100,FALSE,FALSE,NA,"2013"
