Analyst,FileName,Date,RecordingLocation,PrimateSpecies,CallOnset,CallDuration,CallCompletion,CallDistance,MicUsed,Rain,UndergradComments,SilvyComments
Silvy van Kuijk,HARPIA_20130220_060000,2/20/2013,"Harpia, 4, 200",None,,,,,1,Rain,,
Silvy van Kuijk,HARPIA_20130220_061500,2/20/2013,"Harpia, 4, 200",None,,,,,1,Rain,,
Silvy van Kuijk,HARPIA_20130220_063000,2/20/2013,"Harpia, 4, 200",None,,,,,1,Rain,,
Silvy van Kuijk,HARPIA_20130220_064500,2/20/2013,"Harpia, 4, 200",None,,,,,1,Rain,,
Silvy van Kuijk,HARPIA_20130220_070000,2/20/2013,"Harpia, 4, 200",None,,,,,1,Rain,,
Silvy van Kuijk,HARPIA_20130220_071500,2/20/2013,"Harpia, 4, 200",None,,,,,1,Rain,,
Silvy van Kuijk,HARPIA_20130220_073000,2/20/2013,"Harpia, 4, 200",None,,,,,1,Rain,,
Silvy van Kuijk,HARPIA_20130220_074500,2/20/2013,"Harpia, 4, 200",None,,,,,1,Rain,,
Silvy van Kuijk,HARPIA_20130220_080000,2/20/2013,"Harpia, 4, 200",None,,,,,1,Rain,,
Silvy van Kuijk,HARPIA_20130221_054500,2/21/2013,"Harpia, 4, 200",None,,,,,1,Rain,,
Silvy van Kuijk,HARPIA_20130221_060000,2/21/2013,"Harpia, 4, 200",None,,,,,1,Rain,,
Silvy van Kuijk,HARPIA_20130221_061500,2/21/2013,"Harpia, 4, 200",None,,,,,1,Rain,,Some serious woolly monkey screaming going on at 3:45.
Silvy van Kuijk,HARPIA_20130221_063000,2/21/2013,"Harpia, 4, 200",None,,,,,1,Rain,,
Silvy van Kuijk,HARPIA_20130221_064500,2/21/2013,"Harpia, 4, 200",None,,,,,1,Rain,,
Silvy van Kuijk,HARPIA_20130221_070000,2/21/2013,"Harpia, 4, 200",None,,,,,1,Rain,,Woolly chirps. They must be resting right above recorder.
Silvy van Kuijk,HARPIA_20130221_071500,2/21/2013,"Harpia, 4, 200",None,,,,,1,Rain,,
